Milliseconds,X_Traori_Transformed,Y_Traori_Transformed,Z_Traori_Transformed,Fx_N,Fy_N,Fz_N,ACT_POSITION_X,ACT_POSITION_Y,ACT_POSITION_Z,ACT_POSITION_A,ACT_POSITION_C_Updated,ACT_OVERRIDE,SPINDLE_ROTATION_ANGLE,SPINDLE_SPEED,ACT_CURRENT_X,ACT_CURRENT_Y,ACT_CURRENT_Z,ACT_CURRENT_A,ACT_CURRENT_C,ACT_CURRENT_S,ACTIVE_TOOL_RADIUS,ACTIVE_TOOL_LENGTH,Zero_Offset_X,Zero_Offset_Y,Zero_Offset_Z,Zero_Offset_C
180.1,-217.6749806287833,-315.10985927894046,-153.164211093416,-32.0902023,-58.82441,1.25125849,15.3157091,11.3492031,-13.0499048,-0.00022159527,5.34340179e-05,100,114.200615,24001.35,0.475097656,0.4921875,3.44018555,-0.16809082,-0.3173828,-2.10888672,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
180.15,-217.64560469999998,-315.14188461395554,-153.16317032133142,-32.41065,-66.91181,5.676441,15.3453789,11.3174782,-13.0499,-0.00040992265,0.0,100,330.191833,23998.7188,0.475097656,0.563964844,3.45727539,-0.08239746,-0.289611816,-3.4453125,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
180.2,-217.61371359999998,-315.17226876779614,-153.16309667771674,-33.3872375,-69.1091461,7.84325457,15.37727,11.2869263,-13.0494814,-0.000347172638,0.0,100,186.22287,24003.1816,0.5126953,0.548584,3.40600586,-0.115356445,-0.307861328,-2.47802734,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
180.25,-217.5458236,-315.2312583403861,-153.16283597344483,-36.07287,-66.75922,-2.65510941,15.44516,11.2279367,-13.049221,-0.000347162975,0.0,100,258.223145,23999.0625,0.353759766,0.657959,3.42822266,-0.0538330078,-0.284057617,-3.23339844,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
180.3,-217.5106662092587,-315.2587562598419,-153.16381263616552,-35.59983,-60.9912224,5.920589,15.4800234,11.2004738,-13.0498524,-0.000284383947,5.34305036e-05,100,114.276146,24001.6934,0.329833984,0.604980469,3.41967773,-0.125244141,-0.327697754,-1.47998047,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
180.35,-217.4758612,-315.2853182176713,-153.16335549912776,-35.81346,-56.5965576,6.897181,15.5151224,11.1738768,-13.0497408,-0.0003471533,0.0,100,330.259125,23998.7188,0.346923828,0.651123047,3.43505859,-0.0461425781,-0.2824707,-3.14453125,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
180.4,-217.4395548,-315.3104209209599,-153.1634623787245,-30.9152412,-52.09508,14.4962873,15.5514288,11.1486063,-13.0495024,-0.000284383947,0.0,100,186.281921,24002.9531,0.35546875,0.627197266,3.383789,-0.08898926,-0.307067871,-2.00976563,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
180.45,-217.3641726,-315.35777841451454,-153.16283426009372,-33.4330177,-50.4013023,9.826957,15.626811,11.1014166,-13.04922,-0.0003471533,0.0,100,258.272583,23998.6035,0.3930664,0.575927734,3.385498,-0.0153808594,-0.285644531,-3.46240234,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
180.5,-217.32461229999998,-315.3783950007289,-153.16412900086763,-33.4025,-51.3626366,9.15555,15.6663713,11.0804644,-13.0498238,-0.000221604932,0.0,100,114.332451,24001.9219,0.304199219,0.509277344,3.37695313,-0.109863281,-0.31262207,-1.61669922,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
180.55,-217.28411359999998,-315.3984231486626,-153.1640288298215,-30.9152412,-46.66279,13.1534739,15.70687,11.0604362,-13.0497236,-0.0002215856,0.0,100,330.320923,23999.0625,0.302490234,0.5673828,3.402588,-0.0230712891,-0.284057617,-3.02490234,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
180.6,-217.20235359999998,-315.4342975008765,-153.16444596536496,-29.755537,-47.04427,12.0853262,15.78863,11.024394,-13.0497952,-0.0001587969,0.0,100,42.36102,23999.9766,0.206787109,0.5058594,3.37524414,-0.0153808594,-0.316589355,-0.9707031,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
180.65,-217.1621863,-315.4501865991583,-153.16382602132785,-26.551096,-44.55701,11.9632521,15.8287973,11.0085049,-13.0491753,-0.0001587969,0.0,100,258.333,23998.6035,0.193115234,0.562255859,3.34448242,-0.0230712891,-0.274536133,-3.32568359,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
180.7,-217.1234366,-315.46436967830795,-153.16477333609,-25.83391,-42.1918259,10.4678459,15.867547,10.994154,-13.049777,-9.601789e-05,0.0,100,114.392876,24002.0371,0.254638672,0.540039063,3.33081055,-0.103271484,-0.3118286,-1.10058594,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
180.75,-217.0858704,-315.4776095523732,-153.1647228671464,-24.0943565,-35.8897552,11.4139194,15.9051132,10.9809141,-13.0497265,-9.600822e-05,0.0,100,330.382721,23999.4043,0.2614746,0.5383301,3.36328125,-0.017578125,-0.274536133,-2.17382813,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
180.8,-217.0155283,-315.49930568033517,-153.1655877693668,-23.3161335,-36.7137566,8.056884,15.9754553,10.9588823,-13.0499,2.95594837e-05,0.0,100,42.4296837,23999.8633,0.1418457,0.543457031,3.32910156,-0.0285644531,-0.303894043,-1.04248047,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
180.85,-216.9836498,-315.5086048548519,-153.16487832741214,-20.75258,-32.01391,10.1016235,16.0073338,10.9495831,-13.0491905,2.95691534e-05,0.0,100,258.403046,23998.49,0.0649414063,0.5349121,3.288086,-0.0439453125,-0.272949219,-3.3359375,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
180.9,-216.9836498,-315.5086048548519,-153.16487832741214,-19.3487282,-26.9020576,9.674364,16.0073338,10.9495831,-13.0491905,2.95691534e-05,0.0,100,258.403046,23998.49,0.0649414063,0.5349121,3.288086,-0.0439453125,-0.272949219,-3.3359375,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
180.95,-216.9291207,-315.5230254287595,-153.16534858810508,-17.5786552,-23.1788,9.15555,16.0618629,10.9351625,-13.0496607,2.95788232e-05,0.0,100,330.443146,23999.0625,0.203369141,0.540039063,3.30004883,-0.03845215,-0.2713623,-1.96191406,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
181.0,-216.9052036,-315.52781100721774,-153.16601328584255,-15.1219168,-18.9825077,9.826957,16.08578,10.9300413,-13.049634,0.000155127185,0.0,100,186.460449,24002.4941,0.258056641,0.5109863,3.25561523,-0.09338379,-0.285644531,-2.13623047,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
181.05,-216.8825836,-315.53221115462344,-153.16634340426282,-13.992732,-18.0974712,9.338661,16.1084,10.9256411,-13.049964,0.000155146525,0.0,100,42.4791222,23999.6328,0.3623047,0.466552734,3.282959,-0.05493164,-0.2975464,-0.7553711,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
181.1,-216.836681,-315.53686135492046,-153.16623371685472,-11.9937706,-17.5939159,8.667254,16.1543026,10.9209909,-13.0498543,0.000155146525,0.0,100,114.517845,24002.4941,0.546875,0.475097656,3.23681641,-0.115356445,-0.284057617,-1.3125,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
181.15,-216.8115236,-315.5381811553001,-153.1660935204285,-9.735401,-15.5339165,7.56858826,16.17946,10.9196711,-13.0497141,0.000155146525,0.0,100,330.500824,23999.0625,0.693847656,0.5332031,3.24365234,-0.0725097656,-0.268188477,-1.89697266,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
181.2,-216.7837902,-315.53848353105406,-153.16640105754354,-9.063994,-15.823842,7.202366,16.2071934,10.9192009,-13.0496759,0.000217925553,0.0,100,186.516754,24002.1523,0.695556641,0.5332031,3.20605469,-0.115356445,-0.274536133,-2.27978516,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
181.25,-216.7528855,-315.53908340411925,-153.16669111304128,-8.072144,-17.0445824,7.690662,16.2380981,10.918601,-13.0499659,0.000217935216,0.0,100,42.5422935,23999.6328,0.7246094,0.529785156,3.22827148,-0.0736084,-0.289611816,-1.206543,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
